A1	KC	A2	TC
1	1	150	1
2	1	160	1
3	1	281	1
4	1	174	1
5	1	241	1
6	1	157	1
7	1	408	1
8	1	424	1
9	1	449	1
10	1	174	1
11	1	246	1
12	1	146	1
13	1	290	1
14	1	262	1
15	1	180	1
16	1	161	1
17	2	371	2
18	1	392	2
19	2	161	2
20	2	281	2
21	1	327	2
22	2	392	2
23	2	147	2
24	1	382	2
25	2	269	2
26	2	324	2
27	2	158	2
28	2	311	2
29	2	400	2
30	2	201	2
31	1	310	2
32	2	366	2
33	2	223	2
34	1	136	2
35	2	171	2
36	2	133	2
37	2	228	2
38	1	164	2
39	2	125	2
40	2	207	2
41	2	209	2
42	2	435	2
43	1	278	2
44	2	160	2
45	2	221	2
46	2	339	2
47	2	283	2
48	2	335	2
49	2	424	2
50	2	282	2
51	2	143	2
52	1	309	3
53	3	377	3
54	2	434	3
55	3	416	3
56	3	217	3
57	3	216	3
58	3	223	3
59	3	274	3
60	1	146	3
61	3	254	3
62	3	441	3
63	3	421	3
64	3	350	3
65	2	207	3
66	3	373	3
67	1	282	3
68	3	228	3
69	2	125	3
70	3	239	3
71	3	436	3
72	2	145	3
73	1	205	3
74	3	339	3
75	3	422	3
76	2	403	3
77	4	245	4
78	4	342	4
79	4	254	4
80	4	411	4
81	4	374	4
82	4	383	4
83	4	333	4
84	4	197	4
85	4	126	4
86	4	212	4
87	4	422	4
88	4	322	4
89	4	199	4
90	4	191	4
91	4	145	4
92	4	112	4
93	4	312	4
94	4	221	4
95	4	235	4
96	4	364	4
97	4	125	4
98	4	364	4
99	4	211	4
100	4	299	4
101	4	217	4
102	4	227	4
103	4	239	4
104	4	285	4
105	4	410	4
106	4	152	4
107	4	240	4
108	4	253	4
109	4	270	4
110	4	344	4
111	2	112	4
112	4	205	4
113	3	330	4
114	4	312	4
115	4	241	4
116	1	346	4
117	4	170	4
118	1	213	4
119	1	357	4
120	4	400	4
121	4	446	4
122	4	289	4
123	4	234	4
124	1	361	4
125	4	280	4
126	4	221	4
127	2	261	4
128	4	175	4
129	4	353	4
130	3	446	4
131	4	115	4
132	2	303	4
133	4	415	4
134	4	400	4
135	4	187	4
136	4	226	4
137	1	390	4
138	2	353	4
139	4	121	4
140	4	417	4
141	4	126	4
142	3	257	4
143	4	142	4
144	3	129	4
145	3	144	4
146	4	391	4
147	4	406	4
148	4	355	4
149	4	204	4
150	4	203	4
151	4	347	4
152	4	241	4
153	1	338	4
154	2	258	4
155	3	202	4
156	4	254	4
157	4	336	4
158	4	142	4
159	4	257	4
160	4	184	4
161	4	155	4
162	4	378	4
163	4	125	4
164	4	260	4
165	4	448	4
166	4	198	4
167	4	273	4
168	4	281	4
169	4	112	4
170	4	241	4
171	4	213	4
172	4	131	4
173	1	336	4
174	4	256	4
175	1	365	4
176	4	318	4
177	4	212	4
178	4	351	4
179	4	286	4
180	4	142	4
181	4	113	4
182	3	137	4
183	4	181	4
184	4	204	4
185	3	397	4
186	4	134	4
187	4	128	4
188	1	167	4
189	4	332	4
190	4	335	4
191	4	222	4
192	1	403	4
193	4	402	4
194	4	186	4
195	4	157	4
196	4	228	4
197	4	191	4
198	4	213	4
199	4	374	4
200	2	391	4
201	4	338	4
202	4	299	4
203	4	137	4
204	4	246	4
205	4	439	4
206	4	395	4
207	4	306	4
208	4	288	4
209	2	315	4
210	4	285	4
211	4	112	4
212	4	166	4
213	4	380	4
214	4	357	4
215	4	378	4
216	4	244	4
217	4	290	4
218	4	387	4
219	4	217	4
220	3	148	4
221	4	404	4
222	4	329	4
223	3	183	4
224	4	318	4
225	4	239	4
226	1	308	4
227	4	148	4
228	2	284	4
229	2	116	4
230	1	202	1
231	1	229	1
232	1	249	1
233	1	202	1
234	1	173	1
235	1	393	1
236	1	127	1
237	2	150	2
238	1	442	2
239	2	413	2
240	2	426	2
241	1	406	2
242	2	422	2
243	2	322	2
244	1	149	2
245	2	131	2
246	2	334	2
247	2	309	2
248	2	280	2
249	2	400	2
250	2	333	2
251	1	131	2
252	2	331	2
253	2	253	2
254	1	371	2
255	2	297	2
256	2	425	2
257	2	279	2
258	1	331	2
259	2	313	2
260	2	159	2
