B1	KC	B2	B3	TC
1	1	46	301	1
2	1	14	99	1
3	1	11	73	1
4	1	63	170	1
5	1	19	246	1
6	1	57	204	1
7	1	12	187	1
8	1	75	334	1
9	1	28	49	1
10	1	49	70	1
11	1	57	109	1
12	1	47	17	1
13	1	34	321	1
14	1	31	129	1
15	1	76	133	1
16	1	32	174	1
17	2	52	96	2
18	1	62	343	2
19	2	14	49	2
20	2	75	296	2
21	1	58	186	2
22	2	61	213	2
23	2	13	294	2
24	1	19	96	2
25	2	56	198	2
26	2	38	249	2
27	2	29	349	2
28	2	31	141	2
29	2	17	194	2
30	2	69	242	2
31	1	55	159	2
32	2	57	75	2
33	2	22	147	2
34	1	59	6	2
35	2	19	79	2
36	2	30	129	2
37	2	39	213	2
38	1	16	214	2
39	2	37	154	2
40	2	55	74	2
41	2	23	182	2
42	2	70	348	2
43	1	74	169	2
44	2	44	167	2
45	2	39	286	2
46	2	40	183	2
47	2	63	201	2
48	2	61	272	2
49	2	29	44	2
50	2	64	69	2
51	2	41	211	2
52	1	77	284	3
53	3	61	124	3
54	2	66	61	3
55	3	43	37	3
56	3	51	52	3
57	3	56	61	3
58	3	17	228	3
59	3	23	309	3
60	1	31	102	3
61	3	70	190	3
62	3	11	282	3
63	3	54	123	3
64	3	36	235	3
65	2	37	193	3
66	3	71	243	3
67	1	44	238	3
68	3	76	341	3
69	2	24	265	3
70	3	17	235	3
71	3	64	115	3
72	2	76	183	3
73	1	54	5	3
74	3	55	202	3
75	3	71	273	3
76	2	64	196	3
77	4	65	207	4
78	4	35	225	4
79	4	52	58	4
80	4	67	107	4
81	4	47	142	4
82	4	70	165	4
83	4	39	24	4
84	4	54	193	4
85	4	18	197	4
86	4	47	103	4
87	4	12	273	4
88	4	76	107	4
89	4	39	192	4
90	4	18	344	4
91	4	34	84	4
92	4	36	92	4
93	4	43	339	4
94	4	60	310	4
95	4	65	103	4
96	4	75	217	4
97	4	40	119	4
98	4	73	217	4
99	4	47	55	4
100	4	12	347	4
101	4	15	260	4
102	4	13	6	4
103	4	74	305	4
104	4	17	44	4
105	2	15	295	2
106	2	14	39	2
107	1	73	343	2
108	2	38	42	2
109	2	74	285	2
110	2	26	98	2
111	2	16	190	2
112	2	29	108	2
113	2	27	40	2
114	2	54	65	2
115	2	65	140	2
116	1	16	116	3
117	3	65	52	3
118	2	75	109	3
119	3	61	31	3
120	3	72	237	3
121	4	31	78	4
122	4	42	305	4
123	4	18	40	4
124	4	11	78	4
125	4	75	350	4
126	4	38	186	4
127	2	57	273	4
128	4	26	21	4
129	3	13	31	4
130	4	24	133	4
131	4	18	69	4
132	1	54	275	4
133	4	25	113	4
134	1	30	72	4
135	1	40	326	4
136	4	76	81	4
137	4	75	177	4
138	4	19	4	4
139	4	17	239	4
140	1	58	85	4
141	4	39	144	4
142	4	38	111	4
143	2	33	91	4
144	4	77	207	4
145	4	57	226	4
146	3	70	311	4
147	4	22	249	4
148	2	46	212	4
149	4	16	301	4
150	4	11	176	4
151	4	75	85	4
152	4	23	314	4
153	1	40	222	4
154	2	56	156	4
155	4	65	1	4
156	4	19	13	4
157	4	44	127	4
158	3	25	17	4
159	4	15	116	4
160	3	54	73	4
161	3	70	250	4
162	4	64	125	4
163	4	23	304	4
164	4	25	242	4
165	4	74	243	4
166	4	58	64	4
167	4	35	296	4
168	3	35	303	3
169	3	30	153	3
170	2	14	295	3
171	3	64	232	3
172	1	55	250	3
173	3	46	95	3
174	2	29	299	3
175	4	43	280	4
176	1	74	232	4
177	2	44	14	4
178	3	68	177	4
179	4	31	227	4
180	4	28	178	4
181	4	44	104	4
182	4	68	73	4
183	4	50	307	4
184	4	67	332	4
185	4	32	266	4
186	4	28	333	4
187	4	55	80	4
188	4	23	69	4
189	4	77	101	4
190	4	22	328	4
191	4	35	88	4
192	4	30	227	4
193	4	44	292	4
194	4	39	270	4
195	4	67	111	4
196	1	36	75	4
197	4	59	36	4
198	1	43	69	4
199	4	35	274	4
200	4	58	70	4
201	4	56	323	4
202	4	39	24	4
203	4	41	105	4
204	4	22	74	4
205	3	36	341	4
206	4	39	150	4
207	4	42	342	4
208	3	12	137	4
209	4	54	45	4
210	4	27	268	4
211	1	42	220	4
212	4	22	297	4
213	4	41	31	4
214	4	27	195	4
215	1	69	295	4
216	4	53	177	4
217	4	31	230	4
218	4	61	323	4
219	4	14	312	4
220	4	47	96	4
221	4	60	224	4
222	4	41	247	4
223	2	53	311	4
224	4	71	316	4
225	4	56	151	4
226	4	75	309	4
227	4	67	84	4
228	4	40	137	4
229	4	32	150	4
230	4	46	38	4
231	4	47	347	4
232	2	39	231	4
233	4	11	22	4
234	4	17	76	4
235	4	52	254	4
236	4	74	206	4
237	4	48	328	4
238	4	47	66	4
239	4	70	179	4
240	4	72	342	4
241	4	23	119	4
242	4	16	272	4
243	3	52	285	4
244	4	71	294	4
245	4	51	203	4
246	3	62	209	4
247	4	11	180	4
248	4	71	269	4
249	1	47	131	4
250	4	54	331	4
251	2	34	48	4
252	2	59	338	4
253	3	27	41	4
254	4	51	270	4
255	4	21	188	4
256	4	12	94	4
257	4	41	262	4
258	4	70	185	4
259	4	22	133	4
260	3	61	258	3
261	3	37	141	3
262	2	32	236	3
263	3	22	174	3
264	1	50	344	3
265	3	11	163	3
266	2	26	75	3
267	4	21	291	4
268	1	40	111	4
269	2	66	333	4
270	3	41	322	4
271	4	13	109	4
272	4	66	271	4
273	4	17	278	4
