C1	KC	C2	C3	C4	TC
507	1	158	153	239	1
1	1	111	103	209	1
2	1	85	273	99	1
3	1	209	223	52	1
4	1	61	100	53	1
5	1	100	222	126	1
6	1	139	306	9	1
7	1	163	310	259	1
8	1	124	45	50	1
9	1	101	75	245	1
10	1	194	160	74	1
11	1	191	89	232	1
12	1	123	340	103	1
13	1	166	345	279	1
14	1	59	238	67	1
15	1	127	286	152	1
16	2	196	224	47	2
17	1	196	152	91	2
18	2	187	322	6	2
19	2	56	328	105	2
20	1	25	295	93	2
21	2	133	368	190	2
22	2	57	154	25	2
23	1	155	230	36	2
24	2	151	119	177	2
25	2	188	361	177	2
26	2	32	312	105	2
27	2	199	50	234	2
28	2	29	50	275	2
29	2	210	281	77	2
30	1	169	108	143	2
31	2	14	271	256	2
32	2	149	45	86	2
33	1	178	369	131	2
34	2	2	138	153	2
35	2	172	49	243	2
36	2	199	248	183	2
37	1	13	261	7	2
38	2	186	172	149	2
39	2	172	139	34	2
40	2	10	127	277	2
41	2	199	159	220	2
42	1	121	38	213	2
43	2	70	222	141	2
44	2	201	291	63	2
45	2	225	303	57	2
46	2	46	342	217	2
47	2	135	229	145	2
48	2	69	317	196	2
49	2	80	118	191	2
50	2	192	204	240	2
51	1	25	260	9	3
52	3	179	103	39	3
53	2	190	367	49	3
54	3	121	289	63	3
55	3	9	98	261	3
56	3	207	117	124	3
57	3	171	179	129	3
58	3	197	72	267	3
59	1	212	219	211	3
60	3	184	79	99	3
61	3	57	69	229	3
62	3	74	67	208	3
63	3	169	356	202	3
64	2	207	353	68	3
65	3	8	228	51	3
66	1	104	338	114	3
67	3	162	183	170	3
68	2	140	117	79	3
69	3	35	156	190	3
70	3	173	186	189	3
71	2	111	242	262	3
72	1	120	234	73	3
73	3	202	252	256	3
74	3	181	60	165	3
75	2	185	132	95	3
76	4	196	158	182	4
77	4	80	185	258	4
78	4	164	335	99	4
79	4	154	300	83	4
80	4	188	92	45	4
81	4	109	108	14	4
82	4	76	81	228	4
83	4	188	344	34	4
84	4	11	218	167	4
85	4	181	178	7	4
86	4	181	45	1	4
87	4	213	319	239	4
88	4	4	160	14	4
89	4	72	178	90	4
90	4	45	268	220	4
91	4	222	237	50	4
92	4	70	223	101	4
93	4	219	323	177	4
94	4	214	74	85	4
95	4	6	355	21	4
96	4	168	184	24	4
97	4	55	135	88	4
98	4	117	364	10	4
99	4	32	53	243	4
100	4	220	75	56	4
101	4	27	161	26	4
102	4	144	61	133	4
103	4	210	178	112	4
104	2	48	74	148	2
105	2	190	70	235	2
106	1	205	288	72	2
107	2	69	188	160	2
108	2	137	147	270	2
109	2	186	266	147	2
110	2	129	88	20	2
111	2	188	212	183	2
112	2	116	163	208	2
113	2	101	339	131	2
114	2	65	319	61	2
115	1	225	221	46	3
116	3	214	103	230	3
117	2	188	296	223	3
118	3	213	326	159	3
119	3	78	288	75	3
120	4	51	323	108	4
121	4	145	63	222	4
122	4	26	99	178	4
123	4	17	337	207	4
124	4	57	109	217	4
125	4	164	328	197	4
126	2	33	223	100	4
127	4	101	97	166	4
128	3	9	329	79	4
129	4	39	278	15	4
130	4	155	88	73	4
131	1	149	95	89	4
132	4	28	301	154	4
133	1	46	346	14	4
134	1	180	266	67	4
135	4	179	158	214	4
136	4	102	121	69	4
137	4	202	72	41	4
138	4	138	190	135	4
139	1	214	127	93	4
140	4	62	159	212	4
141	4	83	53	47	4
142	2	93	165	124	4
143	4	176	43	264	4
144	4	57	362	248	4
145	3	207	156	144	4
146	4	173	160	80	4
147	2	17	133	261	4
148	4	110	339	36	4
149	4	31	331	247	4
150	4	7	315	202	4
151	4	70	151	42	4
152	1	197	219	65	4
153	2	64	370	122	4
154	4	218	182	101	4
155	4	52	127	158	4
156	4	192	292	233	4
157	3	182	331	20	4
158	4	68	38	214	4
159	3	9	189	87	4
160	3	198	106	201	4
161	4	15	89	147	4
162	4	81	280	148	4
163	4	138	236	94	4
164	4	16	318	145	4
165	4	172	368	182	4
166	4	214	239	46	4
167	3	85	70	145	3
168	3	71	224	16	3
169	2	2	189	250	3
170	3	224	174	170	3
171	1	125	260	252	3
172	3	6	68	106	3
173	2	212	352	143	3
174	4	98	311	73	4
175	1	136	203	166	4
176	2	41	110	115	4
177	3	136	216	118	4
178	4	201	167	253	4
179	4	200	168	152	4
180	4	192	113	155	4
181	4	185	310	228	4
182	4	67	142	26	4
183	4	118	236	156	4
184	4	159	141	72	4
185	4	16	54	20	4
186	4	104	101	187	4
187	4	84	348	266	4
188	4	90	222	226	4
189	4	116	100	54	4
190	4	220	291	10	4
191	4	124	79	23	4
192	4	132	112	172	4
193	4	101	34	50	4
194	4	22	135	9	4
195	1	176	288	267	4
196	4	151	53	2	4
197	1	71	184	268	4
198	4	56	271	84	4
199	4	141	66	175	4
200	4	178	113	80	4
201	4	165	245	251	4
202	4	204	262	207	4
203	4	148	347	247	4
204	3	78	332	51	4
205	4	118	136	159	4
206	4	63	55	39	4
207	3	180	340	145	4
208	4	201	143	132	4
209	4	64	262	190	4
210	1	149	307	100	4
211	4	29	176	280	4
212	4	179	154	204	4
213	4	173	347	136	4
214	1	39	85	127	4
215	4	122	344	14	4
216	4	211	205	24	4
217	4	27	265	238	4
218	4	28	34	160	4
219	4	205	94	109	4
220	4	128	130	79	4
221	4	153	197	140	4
222	2	198	293	68	4
223	4	165	225	121	4
224	4	164	236	68	4
225	4	72	227	238	4
226	4	69	88	242	4
227	4	37	312	49	4
228	4	212	368	254	4
229	4	21	47	220	4
230	4	29	312	217	4
231	2	163	49	87	4
232	4	155	184	241	4
233	4	161	246	268	4
234	4	138	108	246	4
235	4	46	237	33	4
236	4	223	93	205	4
237	4	196	86	103	4
238	4	165	35	70	4
239	4	117	225	73	4
240	4	32	44	266	4
241	4	181	331	71	4
242	3	180	123	95	4
243	4	32	225	232	4
244	4	134	269	271	4
245	3	165	275	4	4
246	4	149	207	164	4
247	4	205	132	76	4
248	1	122	167	264	4
249	4	13	363	213	4
250	2	84	292	209	4
251	2	171	292	256	4
252	3	116	77	249	4
253	4	35	363	254	4
254	4	62	38	19	4
255	4	16	51	108	4
256	4	36	63	118	4
257	4	155	56	253	4
258	4	167	257	280	4
259	3	16	141	274	3
260	3	117	350	110	3
261	2	34	58	98	3
262	3	110	143	242	3
263	1	122	329	115	3
264	3	85	182	164	3
265	2	58	78	229	3
266	4	140	251	217	4
267	1	144	193	173	4
268	2	92	264	127	4
269	3	9	279	132	4
270	4	46	50	7	4
271	4	172	138	228	4
272	4	222	159	47	4
273	1	139	192	247	1
274	1	5	353	124	1
275	1	167	159	186	1
276	1	126	99	57	1
277	1	148	87	232	1
278	1	164	271	100	1
279	1	81	239	107	1
280	1	14	257	52	1
281	1	160	78	273	1
282	1	8	207	268	1
283	1	15	53	229	1
284	1	72	50	178	1
285	1	78	159	162	1
286	1	5	288	146	1
287	2	189	176	137	2
288	1	216	58	280	2
289	2	25	140	186	2
290	2	46	266	229	2
291	1	161	194	77	2
292	2	134	143	266	2
293	2	197	361	32	2
294	1	141	356	95	2
295	1	147	242	53	3
296	3	171	144	132	3
297	2	214	132	71	3
298	3	126	270	181	3
299	3	60	80	7	3
300	2	101	113	272	3
301	1	28	122	182	3
302	3	16	347	213	3
303	3	94	176	140	3
304	2	149	61	241	3
305	4	179	313	237	4
306	4	26	203	210	4
307	4	12	68	17	4
308	4	13	103	90	4
309	4	53	56	184	4
310	4	101	191	66	4
311	4	17	266	245	4
312	4	155	300	148	4
313	4	182	148	112	4
314	4	41	99	88	4
315	4	139	359	133	4
316	4	63	219	178	4
317	2	154	232	225	3
318	4	204	264	230	4
